id,classification_id,annotation,workflow_id,user_id,subject_id,event_time,gravityspy_id,ifo,main_channel_name,event_generator,annotation_channel_names,hveto_round_number
128,421488506,"{0,1}",21793,2450285,76084834,1262385699.5625,0Bv1f8kCkhBVFFuofFK0,L1,L1:GDS-CALIB_STRAIN,None,"{L1:HPI-HAM1_BLND_L4C_VP_IN1_DQ,L1:ASC-REFL_A_RF9_Q_PIT_OUT_DQ}",10
129,421490244,{1},21793,2450285,76085066,1262816620.0625,VvSgdN29CyWJrm5HbPiq,H1,H1:GDS-CALIB_STRAIN,None,{H1:ASC-AS_B_RF36_Q_PIT_OUT_DQ},7
130,421492843,"{0,1,2}",21793,2450285,76084784,1262808558.5625,4kOEVjgeTJWtOVFsZLZK,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-Y_TR_A_NSUM_OUT_DQ,H1:ASC-SRC2_Y_OUT_DQ,H1:ASC-AS_B_RF45_I_YAW_OUT_DQ}",3
131,421492894,"{0,1,2}",21793,2450285,76084835,1262798852.4375,6qRk9vBlq8ulaDvEm5h4,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_I_YAW_OUT_DQ,H1:LSC-MICH_IN1_DQ,H1:LSC-POP_A_RF45_Q_ERR_DQ}",4
132,421492876,{},21793,2450285,76085735,1262384667.375,U1afilTWrtVngEgFYo8n,L1,L1:GDS-CALIB_STRAIN,None,{},8
133,421492940,"{0,1,2}",21793,2450285,76085024,1262388717.5625,01led6nSvC2PosDCbytM,L1,L1:GDS-CALIB_STRAIN,None,"{L1:LSC-REFL_A_LF_OUT_DQ,L1:LSC-REFL_A_RF9_Q_ERR_DQ,L1:PSL-ISS_PDB_REL_OUT_DQ}",11
134,421560697,"{0,2}",21793,386563,76085787,1262382826.15625,YDuqA9GDNBoklSqoP5Fh,L1,L1:GDS-CALIB_STRAIN,None,"{L1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,L1:LSC-REFL_A_RF45_I_ERR_DQ}",9
135,421560725,"{0,1,2}",21793,386563,76085042,1262795310.6875,G8LshPyUUoVTKjxln3Ju,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_B_RF45_I_YAW_OUT_DQ,H1:ASC-AS_B_RF36_Q_PIT_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",7
136,421560810,{0},21793,386563,76083619,1262375504.4375,1jGjqSeTwJ6FlaoE2D7F,L1,L1:GDS-CALIB_STRAIN,None,{L1:LSC-REFL_A_LF_OUT_DQ},1
137,421560759,{0},21793,386563,76085186,1262358638.166015,vJwofKGRHzZZiAHHA63k,L1,L1:GDS-CALIB_STRAIN,None,{L1:LSC-REFL_A_LF_OUT_DQ},5
138,421560834,{},21793,386563,76085115,1262386000.9375,wrkNm0sfB6miFRdtT93A,L1,L1:GDS-CALIB_STRAIN,None,{},2
139,421560781,{},21793,386563,76085247,1262388897.1875,MHZnBXPodHmxU3SRFlix,L1,L1:GDS-CALIB_STRAIN,None,{},7
140,421560840,{},21793,386563,76085790,1262388231.6875,IeUnHlQsZaU2QCTAIOEk,L1,L1:GDS-CALIB_STRAIN,None,{},9
141,421560821,{0},21793,386563,76085203,1262366338.693359,8bBnFz4ndnQKonUOYr6y,L1,L1:GDS-CALIB_STRAIN,None,{L1:ASC-X_TR_A_NSUM_OUT_DQ},5
142,421560929,{},21793,386563,76085205,1262366338.693359,8bBnFz4ndnQKonUOYr6y,L1,L1:GDS-CALIB_STRAIN,None,{},5
143,421560968,{},21793,386563,76085055,1262377997.8125,mNXATUyiRSUZJAyRc1ga,L1,L1:GDS-CALIB_STRAIN,None,{},11
